t_s,wall_time,phase,frame,roll,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,left_hip_pitch_joint__pos_meas,left_hip_pitch_joint__vel_meas,left_hip_pitch_joint__tgt,left_hip_roll_joint__pos_meas,left_hip_roll_joint__vel_meas,left_hip_roll_joint__tgt,left_hip_yaw_joint__pos_meas,left_hip_yaw_joint__vel_meas,left_hip_yaw_joint__tgt,left_knee_joint__pos_meas,left_knee_joint__vel_meas,left_knee_joint__tgt,left_ankle_pitch_joint__pos_meas,left_ankle_pitch_joint__vel_meas,left_ankle_pitch_joint__tgt,left_ankle_roll_joint__pos_meas,left_ankle_roll_joint__vel_meas,left_ankle_roll_joint__tgt,right_hip_pitch_joint__pos_meas,right_hip_pitch_joint__vel_meas,right_hip_pitch_joint__tgt,right_hip_roll_joint__pos_meas,right_hip_roll_joint__vel_meas,right_hip_roll_joint__tgt,right_hip_yaw_joint__pos_meas,right_hip_yaw_joint__vel_meas,right_hip_yaw_joint__tgt,right_knee_joint__pos_meas,right_knee_joint__vel_meas,right_knee_joint__tgt,right_ankle_pitch_joint__pos_meas,right_ankle_pitch_joint__vel_meas,right_ankle_pitch_joint__tgt,right_ankle_roll_joint__pos_meas,right_ankle_roll_joint__vel_meas,right_ankle_roll_joint__tgt,waist_yaw_joint__pos_meas,waist_yaw_joint__vel_meas,waist_yaw_joint__tgt,waist_pitch_joint__pos_meas,waist_pitch_joint__vel_meas,waist_pitch_joint__tgt,waist_roll_joint__pos_meas,waist_roll_joint__vel_meas,waist_roll_joint__tgt,left_shoulder_pitch_joint__pos_meas,left_shoulder_pitch_joint__vel_meas,left_shoulder_pitch_joint__tgt,left_shoulder_roll_joint__pos_meas,left_shoulder_roll_joint__vel_meas,left_shoulder_roll_joint__tgt,left_shoulder_yaw_joint__pos_meas,left_shoulder_yaw_joint__vel_meas,left_shoulder_yaw_joint__tgt,left_elbow_joint__pos_meas,left_elbow_joint__vel_meas,left_elbow_joint__tgt,left_wrist_yaw_joint__pos_meas,left_wrist_yaw_joint__vel_meas,left_wrist_yaw_joint__tgt,left_wrist_pitch_joint__pos_meas,left_wrist_pitch_joint__vel_meas,left_wrist_pitch_joint__tgt,left_wrist_roll_joint__pos_meas,left_wrist_roll_joint__vel_meas,left_wrist_roll_joint__tgt,right_shoulder_pitch_joint__pos_meas,right_shoulder_pitch_joint__vel_meas,right_shoulder_pitch_joint__tgt,right_shoulder_roll_joint__pos_meas,right_shoulder_roll_joint__vel_meas,right_shoulder_roll_joint__tgt,right_shoulder_yaw_joint__pos_meas,right_shoulder_yaw_joint__vel_meas,right_shoulder_yaw_joint__tgt,right_elbow_joint__pos_meas,right_elbow_joint__vel_meas,right_elbow_joint__tgt,right_wrist_yaw_joint__pos_meas,right_wrist_yaw_joint__vel_meas,right_wrist_yaw_joint__tgt,right_wrist_pitch_joint__pos_meas,right_wrist_pitch_joint__vel_meas,right_wrist_pitch_joint__tgt,right_wrist_roll_joint__pos_meas,right_wrist_roll_joint__vel_meas,right_wrist_roll_joint__tgt,head_yaw_joint__pos_meas,head_yaw_joint__vel_meas,head_yaw_joint__tgt,head_pitch_joint__pos_meas,head_pitch_joint__vel_meas,head_pitch_joint__tgt
0.0000,1786487353.4757,ramp,0,-0.003675,0.0009530465258957823,-0.005865289288587619,-0.0021924780561781067,0.008604156784713268,0.01975111849606037,0.3197176456451416,-0.9472678899765015,-0.20372867584228516,-0.0061054229736328125,-0.2037286623442416,0.1049799919128418,-0.0061054229736328125,0.10497961031282313,-0.0033555030822753906,0.0061054229736328125,-0.003355490860365461,0.4838685989379883,-0.0061054229736328125,0.4838682941042517,-0.23632574081420898,0.0061054229736328125,-0.2367089844565379,-0.045731544494628906,0.0061054229736328125,-0.04573137823968079,-0.19107389450073242,0.0061054229736328125,-0.19107392700173587,-0.06682300567626953,-0.0061054229736328125,-0.06682276278843102,0.006998538970947266,0.0061054229736328125,0.006998513508337598,0.4909629821777344,0.0061054229736328125,0.4915377150715192,-0.26642942428588867,-0.0061054229736328125,-0.26719593418289345,0.06950759887695312,0.0061054229736328125,0.06950734620692171,-0.0020132064819335938,-0.0061054229736328125,-0.0018215113354370903,-0.0030183457729397274,-2.3992530775933727e-05,-0.0035910665584937503,-0.018800797987021618,0.005031364314842875,-0.018160923226318973,0.1761178970336914,-0.0061054229736328125,0.1761179838261887,0.11667680740356445,-0.0061054229736328125,0.11667711026263551,-0.017353057861328125,0.0061054229736328125,-0.01735299479515825,-0.30056047439575195,-0.0061054229736328125,-0.3005604723938953,-0.007765293121337891,0.0061054229736328125,-0.007765264908023921,0.00972747802734375,-0.0073261260986328125,0.009727442623708935,-0.01430511474609375,-0.0073261260986328125,-0.014305062689584834,0.18417119979858398,0.0061054229736328125,0.18436294514264406,-0.0718083381652832,-0.0061054229736328125,-0.07180880413830247,-0.002972126007080078,0.0061054229736328125,-0.0029721152271301224,-0.29787588119506836,0.0061054229736328125,-0.2978758889435831,-0.006615161895751953,0.0061054229736328125,-0.006615137866737624,-0.00858306884765625,0.0073261260986328125,-0.00858303769245559,0.01659393310546875,-0.0073261260986328125,0.016593872911126687,0.0001437664031982422,0.0030689239501953125,0.0001437658806073655,0.0,0.0,5.457057388542572e-27
0.0207,1786487353.4963,ramp,0,-0.003596,0.03175286967701476,-0.03833558387449935,-0.011944601021465936,0.008556847460567951,0.019736001268029213,0.31969738006591797,-0.9472755193710327,-0.2052631378173828,-0.20146560668945312,-0.20371330181434338,0.10613059997558594,-0.0061054229736328125,0.10454535637910815,-0.002780437469482422,0.03052520751953125,-0.0033415825474601233,0.4877033233642578,0.3846149444580078,0.4835213988139799,-0.2380514144897461,-0.20146560668945312,-0.23655714026293573,-0.04956626892089844,-0.27472496032714844,-0.04554218310947669,-0.1920323371887207,0.018314361572265625,-0.19111091255703236,-0.06797361373901367,-0.07936477661132812,-0.06654636081210401,0.006998538970947266,0.03052520751953125,0.006969537518113309,0.4947977066040039,0.3235645294189453,0.49115908684556525,-0.2694973945617676,-0.10378456115722656,-0.2669179782383333,0.07717704772949219,0.25030517578125,0.06921981227162122,-0.0020132064819335938,-0.018314361572265625,-0.001813990527833464,-0.0015881140246659215,0.054822692684343095,-0.003576183488602123,-0.01992799037276372,-0.0763574175181847,-0.018085791612349546,0.1761178970336914,-0.05494499206542969,0.17621675212157925,0.11610174179077148,0.03052520751953125,0.117021758419179,-0.017353057861328125,0.0061054229736328125,-0.017281226632125765,-0.30056047439575195,-0.03052520751953125,-0.30055819431708125,-0.007765293121337891,0.0061054229736328125,-0.007733158665950969,0.00972747802734375,0.0073261260986328125,0.009687153926291627,-0.01468658447265625,-0.03663063049316406,-0.01424582332200994,0.18417119979858398,0.04273414611816406,0.1844275898716053,-0.07027435302734375,0.05494499206542969,-0.0723390730238568,-0.004506111145019531,-0.0061054229736328125,-0.0029598478386485107,-0.29787588119506836,0.0061054229736328125,-0.29788470661348954,-0.006615161895751953,-0.0061054229736328125,-0.006587793282131484,-0.00858306884765625,0.0073261260986328125,-0.008547583636426204,0.01659393310546875,0.0073261260986328125,0.016525372836309088,0.0001437664031982422,0.0030689239501953125,0.00014317118162198214,0.0,0.0,6.215489870794126e-24
0.0411,1786487353.5186,ramp,0,-0.002625,0.04117563295641949,-0.2634045415671674,-0.024130902637207977,0.008653302676975727,0.021517625078558922,0.31995925307273865,-0.9471474289894104,-0.20698881149291992,-0.16483497619628906,-0.20369813427638878,0.10593891143798828,-0.018314361572265625,0.10411655847531393,-0.0025882720947265625,0.0061054229736328125,-0.003327848980631831,0.5030426979064941,0.9096450805664062,0.48317886196685883,-0.24610471725463867,-0.5067157745361328,-0.2364072038619849,-0.0514836311340332,-0.09157562255859375,-0.045355365054552996,-0.1929912567138672,0.05494499206542969,-0.191147433420404,-0.07065773010253906,-0.10378456115722656,-0.06627343159062367,0.007573604583740234,0.03052520751953125,0.006940925586467126,0.5078363418579102,0.8119659423828125,0.49078521576000605,-0.2756333351135254,-0.40903472900390625,-0.266643514572904,0.09079122543334961,0.628814697265625,0.06893589095472767,-0.0016298294067382812,-0.0061054229736328125,-0.0018065642127562782,0.00048794146201002744,0.1643637272242394,-0.0035614874117768478,-0.02178074717032647,-0.17920532460055458,-0.01801160396296394,0.17400884628295898,-0.05494499206542969,0.1763142794776644,0.11610174179077148,-0.03052520751953125,0.11736207636588847,-0.017353057861328125,0.0061054229736328125,-0.017210360174787716,-0.30056047439575195,-0.0061054229736328125,-0.30055594486235737,-0.007765293121337891,0.0061054229736328125,-0.007701455811398065,0.00972747802734375,-0.0073261260986328125,0.009647371421959773,-0.01468658447265625,-0.0073261260986328125,-0.014187328246511366,0.18263721466064453,-0.07936477661132812,0.18449142239473937,-0.06778192520141602,0.1892547607421875,-0.07286267953359597,-0.0046977996826171875,-0.0061054229736328125,-0.002947734579429546,-0.29787588119506836,0.0061054229736328125,-0.29789341349690185,-0.006615161895751953,0.0061054229736328125,-0.006560792258884719,-0.00858306884765625,0.0073261260986328125,-0.008512575030340941,0.01659393310546875,-0.0073261260986328125,0.01645773340644773,4.792213439941406e-05,-0.009205818176269531,0.00014258395452160927,0.0,0.0,1.234749892388777e-23
0.0601,1786487353.5357,ramp,0,-0.003054,0.013715202631907817,-0.287708782701826,0.012687768607220156,0.009876773692667484,0.02447444573044777,0.3199036121368408,-0.9470823407173157,-0.20909786224365234,-0.06715583801269531,-0.20368404646085822,0.1063222885131836,0.018314361572265625,0.10371828515062337,-0.0031638145446777344,-0.05494499206542969,-0.0033150930569853655,0.5214505195617676,0.8974361419677734,0.48286070908475565,-0.2570338249206543,-0.5799751281738281,-0.2362679408936485,-0.052634239196777344,-0.04273414611816406,-0.045181845904416505,-0.1933746337890625,-0.018314361572265625,-0.19118135449498688,-0.07123327255249023,-0.018314361572265625,-0.06601993121787851,0.00795745849609375,0.04273414611816406,0.006914350435232218,0.5227923393249512,0.7631263732910156,0.4904379592110963,-0.2848367691040039,-0.5067157745361328,-0.26638858898775053,0.09961128234863281,0.4334545135498047,0.06867218097427036,-0.0016298294067382812,-0.0061054229736328125,-0.0017996665503147902,0.004278996648883192,0.1502499361522232,-0.00354783749575506,-0.02398679443327064,-0.06336517594644306,-0.017942697465263426,0.17362499237060547,-0.0061054229736328125,0.17640486421236717,0.11437606811523438,-0.128204345703125,0.11767816830311228,-0.017353057861328125,-0.0061054229736328125,-0.017144538445429146,-0.30056047439575195,0.0061054229736328125,-0.3005538555382173,-0.007765293121337891,0.0061054229736328125,-0.007672009768930879,0.00972747802734375,-0.0073261260986328125,0.009610420890894752,-0.01468658447265625,-0.0073261260986328125,-0.01413299722485595,0.18206167221069336,0.018314361572265625,0.18455071091034783,-0.06222105026245117,0.33577537536621094,-0.07334901238088408,-0.003930568695068359,0.0061054229736328125,-0.002936483619526788,-0.29787588119506836,0.0061054229736328125,-0.29790150056862874,-0.006615161895751953,0.0061054229736328125,-0.006535713341279527,-0.00858306884765625,0.0073261260986328125,-0.008480058560892316,0.01659393310546875,-0.0073261260986328125,0.016394908984097047,0.0001437664031982422,0.0030689239501953125,0.0001420385300045013,0.0,0.0,1.8042992327652172e-23
0.0805,1786487353.5563,ramp,0,-0.003457,0.007070347835605158,-0.2461507364576279,-0.010661941497294311,0.011041444726288319,0.027294257655739784,0.3198812007904053,-0.9470000863075256,-0.20967340469360352,0.03052520751953125,-0.2036688883577947,0.1080484390258789,0.05494499206542969,0.10328975397841857,-0.003738880157470703,-0.018314361572265625,-0.003301368033053567,0.5375566482543945,0.6410255432128906,0.4825183853109656,-0.26738834381103516,-0.4212455749511719,-0.2361180977598853,-0.05397605895996094,-0.05494499206542969,-0.044995144058728634,-0.1933746337890625,0.03052520751953125,-0.19121785264073832,-0.07104158401489258,0.018314361572265625,-0.06574717177065408,0.008340835571289062,0.018314361572265625,0.006885756301494882,0.5388989448547363,0.6776561737060547,0.49006432069017414,-0.2953829765319824,-0.4334545135498047,-0.26611429605107023,0.10172033309936523,0.05494499206542969,0.06838843626921066,-0.0016298294067382812,-0.0061054229736328125,-0.0017922448547397212,0.006000256467394333,0.05952232248435705,-0.003533150560550804,-0.025448967312612047,-0.0720260527420134,-0.017868555963933726,0.17554235458374023,0.09157562255859375,0.17650233090204873,0.11111640930175781,-0.1770458221435547,0.1180182745567467,-0.017353057861328125,0.0061054229736328125,-0.017073716070216117,-0.30056047439575195,0.04273414611816406,-0.3005516074827555,-0.007765293121337891,0.0061054229736328125,-0.007640326634979941,0.00972747802734375,-0.0073261260986328125,0.00957066313307056,-0.01468658447265625,-0.0073261260986328125,-0.014074538535926254,0.1828289031982422,0.05494499206542969,0.1846145037267804,-0.05397653579711914,0.4334545135498047,-0.07387229318381511,-0.003547191619873047,0.0061054229736328125,-0.0029243778953000803,-0.29749250411987305,0.018314361572265625,-0.2979102020359679,-0.006615161895751953,0.0061054229736328125,-0.006508729113884102,-0.00858306884765625,0.0073261260986328125,-0.008445071731735209,0.01659393310546875,-0.0073261260986328125,0.016327311629004422,0.0001437664031982422,0.0030689239501953125,0.0001414516681858065,0.0,0.0,2.4171186995211992e-23
0.1006,1786487353.5763,ramp,0,-0.003310,0.011755397990178017,-0.19577309963141443,0.007180334308030829,0.011708217673003674,0.02950204536318779,0.3198167085647583,-0.9469476938247681,-0.20871448516845703,0.06715583801269531,-0.2036539370306467,0.1093907356262207,0.05494499206542969,0.10286706851956526,-0.004506111145019531,-0.018314361572265625,-0.003287830236004786,0.5488700866699219,0.4456653594970703,0.4821807312713389,-0.27448272705078125,-0.3235645294189453,-0.2359702986781409,-0.055318355560302734,-0.07936477661132812,-0.044810989065038644,-0.19318294525146484,0.06715583801269531,-0.19125385290509447,-0.07027435302734375,0.03052520751953125,-0.06547813311119445,0.008340835571289062,0.0061054229736328125,0.006857552228318374,0.5507874488830566,0.5433464050292969,0.4896957790766232,-0.30362796783447266,-0.4212455749511719,-0.26584374482091255,0.10172033309936523,-0.05494499206542969,0.0681085622048846,-0.0016298294067382812,-0.0061054229736328125,-0.0017849244005858785,0.006363729980542595,0.009121433605000319,-0.003518663973929766,-0.026490197995167875,-0.0052439123997217165,-0.017795425847521466,0.17688465118408203,0.04273414611816406,0.17659846802140688,0.10613059997558594,-0.28693580627441406,0.11835374132602906,-0.01754474639892578,0.0061054229736328125,-0.017003859802794584,-0.298642635345459,0.04273414611816406,-0.30054939009364584,-0.007765293121337891,0.0061054229736328125,-0.007609075699504091,0.00972747802734375,-0.0073261260986328125,0.009531447721919871,-0.01468658447265625,-0.0073261260986328125,-0.014016877298291944,0.18551301956176758,0.09157562255859375,0.18467742632759523,-0.04477214813232422,0.4212455749511719,-0.07438843576723102,-0.003547191619873047,0.0061054229736328125,-0.002912437308637058,-0.2967252731323242,0.05494499206542969,-0.29791878480416195,-0.006615161895751953,0.0061054229736328125,-0.006482112985867665,-0.00858306884765625,0.0073261260986328125,-0.008410562167681778,0.01659393310546875,-0.0073261260986328125,0.016260636388303513,0.0001437664031982422,0.0030689239501953125,0.00014087281191301252,0.0,0.0,3.02157852485263e-23
0.1206,1786487353.5961,ramp,0,-0.002716,0.03338785917162006,-0.17825257893870344,0.00043265928980559777,0.01203101221472025,0.03138389438390732,0.31982022523880005,-0.9468819499015808,-0.20583820343017578,-0.0061054229736328125,-0.20363913458896077,0.10996580123901367,0.018314361572265625,0.10244859216664931,-0.0046977996826171875,0.0061054229736328125,-0.003274427248471552,0.5550055503845215,0.2991447448730469,0.4818464395939446,-0.28023529052734375,-0.21367454528808594,-0.2358239713810995,-0.05666065216064453,-0.03052520751953125,-0.04462866788857871,-0.19184064865112305,0.05494499206542969,-0.19128949467846573,-0.06969928741455078,0.018314361572265625,-0.06521177354133963,0.008532524108886719,0.0061054229736328125,0.0068296290115786775,0.5597991943359375,0.45787620544433594,0.48933090740406804,-0.3114895820617676,-0.3235645294189453,-0.2655758877425534,0.10114526748657227,-0.03052520751953125,0.06783147512923109,-0.0016298294067382812,-0.0061054229736328125,-0.0017776768435861675,0.005945505834122159,-0.008619211976956885,-0.0035043216448801236,-0.027913502574491947,-0.06566846310593553,-0.017723023961524392,0.1774601936340332,0.018314361572265625,0.1766936478063893,0.10076189041137695,-0.2991447448730469,0.1186858675139387,-0.01754474639892578,0.0061054229736328125,-0.016934699164767933,-0.2980670928955078,0.018314361572265625,-0.30054719478531866,-0.007765293121337891,0.0061054229736328125,-0.007578135961149656,0.00972747802734375,-0.0073261260986328125,0.009492622818217342,-0.01468658447265625,-0.0073261260986328125,-0.0139597902518265,0.18704700469970703,0.06715583801269531,0.18473972234453515,-0.03576040267944336,0.47008514404296875,-0.0748994385977482,-0.003547191619873047,0.0061054229736328125,-0.0029006156264529256,-0.2955751419067383,0.07936477661132812,-0.2979272821050662,-0.006615161895751953,0.0061054229736328125,-0.006455761901514588,-0.00858306884765625,0.0073261260986328125,-0.00837639625020504,0.01697540283203125,-0.0073261260986328125,0.016194625100302257,0.0001437664031982422,0.0030689239501953125,0.00014029971989665006,0.0,0.0,3.620019133325733e-23
0.1406,1786487353.6166,ramp,0,-0.002457,-0.014976672340359197,-0.13450761138635955,0.030230090810464263,0.012499433942139149,0.03318660333752632,0.3196973204612732,-0.9468558430671692,-0.20296192169189453,0.10378456115722656,-0.20362423611472968,0.11111640930175781,0.07936477661132812,0.10202740090019854,-0.0050811767578125,-0.04273414611816406,-0.003260937307513094,0.5607576370239258,0.3113555908203125,0.48150997916079324,-0.2848367691040039,-0.22588539123535156,-0.23567669476886624,-0.05781126022338867,-0.09157562255859375,-0.044445163882488835,-0.18915605545043945,0.0061054229736328125,-0.19132536768194655,-0.0687403678894043,0.018314361572265625,-0.06494368593309914,0.008532524108886719,-0.018314361572265625,0.006801524639754506,0.5657434463500977,0.2991447448730469,0.48896366858451545,-0.31685829162597656,-0.25030517578125,-0.2653062929105498,0.10018682479858398,-0.018314361572265625,0.06755259041926258,-0.0018215179443359375,-0.0061054229736328125,-0.0017703822672257307,0.005244889156957834,-0.058523750917356475,-0.0034898862683189883,-0.029648187994933232,-0.06959649292602171,-0.017650152359953496,0.1774601936340332,-0.018314361572265625,0.17678944508118852,0.0934758186340332,-0.3846149444580078,0.11902014840874285,-0.017736434936523438,0.0061054229736328125,-0.016865089839136958,-0.2980670928955078,-0.0061054229736328125,-0.3005449852346759,-0.007765293121337891,0.0061054229736328125,-0.007546995497679364,0.00972747802734375,-0.0073261260986328125,0.009453546033480639,-0.01506805419921875,-0.0073261260986328125,-0.013902332846572484,0.18743085861206055,0.03052520751953125,0.18480242251405948,-0.02770709991455078,0.372406005859375,-0.07541375661797978,-0.003547191619873047,0.0061054229736328125,-0.0028887172497441384,-0.2946157455444336,0.04273414611816406,-0.2979358345331887,-0.006615161895751953,0.0061054229736328125,-0.006429239861466957,-0.00858306884765625,0.0073261260986328125,-0.008342008677403836,0.01697540283203125,-0.0073261260986328125,0.016128185556467677,0.0001437664031982422,0.0030689239501953125,0.0001397229098798293,0.0,0.0,4.222342194167803e-23
0.1606,1786487353.6363,ramp,0,-0.002535,0.0013239982081254867,-0.08604392185655879,-0.017961660843715,0.012880981899797916,0.03421047329902649,0.3195647895336151,-0.9468590617179871,-0.20161962509155273,0.05494499206542969,-0.20360942687611971,0.11245870590209961,0.04273414611816406,0.10160873239303816,-0.005847930908203125,-0.0061054229736328125,-0.003247528165651367,0.5655512809753418,0.1770458221435547,0.48117553398472634,-0.28867197036743164,-0.1770458221435547,-0.23553030028186053,-0.05896139144897461,-0.018314361572265625,-0.04426275898854365,-0.18743038177490234,0.04273414611816406,-0.19136102582116019,-0.06778192520141602,0.0061054229736328125,-0.06467720405735647,0.008340835571289062,0.0061054229736328125,0.006773588601347403,0.5707283020019531,0.27472496032714844,0.48859862937169174,-0.32088470458984375,-0.21367454528808594,-0.26503831283868307,0.09941959381103516,-0.05494499206542969,0.06727537611190937,-0.0018215179443359375,-0.0061054229736328125,-0.0017631313823227115,0.0039719296264119335,-0.06306902474379532,-0.003475537353617893,-0.031050031976160047,-0.0643063589145937,-0.017577717228757252,0.17650127410888672,-0.04273414611816406,0.17688466857043172,0.08580589294433594,-0.3846149444580078,0.11935242710098456,-0.017928123474121094,-0.018314361572265625,-0.016795897444214006,-0.2980670928955078,-0.03052520751953125,-0.3005427889183161,-0.007765293121337891,0.0061054229736328125,-0.007516041552543579,0.00972747802734375,-0.0073261260986328125,0.009414703302319081,-0.01506805419921875,-0.021978378295898438,-0.013845219587112679,0.18743085861206055,-0.018314361572265625,0.18486474713582732,-0.02042102813720703,0.3601951599121094,-0.07592499408866747,-0.0033555030822753906,0.0061054229736328125,-0.0028768901393287755,-0.2942323684692383,0.0061054229736328125,-0.2979443357358486,-0.006615161895751953,0.0061054229736328125,-0.006402876677331733,-0.00858306884765625,0.0073261260986328125,-0.008307827071762133,0.01697540283203125,-0.0073261260986328125,0.01606214395767567,0.0001437664031982422,0.0030689239501953125,0.00013914955471344028,0.0,0.0,4.8210575921293765e-23
0.1803,1786487353.6559,ramp,0,-0.002237,0.01989690302587532,-0.06993149765595677,0.0021715788735162775,0.012943651527166367,0.034846026450395584,0.319683700799942,-0.946794867515564,-0.20027732849121094,0.04273414611816406,-0.20359476702204665,0.11322546005249023,0.018314361572265625,0.10119428710104156,-0.006039619445800781,0.0061054229736328125,-0.003234254285196397,0.5682358741760254,0.11599540710449219,0.48084446244177215,-0.2911643981933594,-0.128204345703125,-0.2353853825130862,-0.05972862243652344,-0.05494499206542969,-0.044082194058915995,-0.18704700469970703,0.0061054229736328125,-0.1913963242677013,-0.06701469421386719,-0.0061054229736328125,-0.06441341025171998,0.008340835571289062,0.0061054229736328125,0.006745934360828125,0.5753302574157715,0.20146560668945312,0.4882372724017705,-0.3241443634033203,-0.16483497619628906,-0.26477303594960594,0.09865283966064453,-0.04273414611816406,0.06700095813541555,-0.0018215179443359375,-0.0061054229736328125,-0.0017559536389303372,0.0028423143016297484,-0.04045380147662568,-0.0034613331800499685,-0.032452647500354745,-0.04956775966673038,-0.017506012769057014,0.17420053482055664,-0.018314361572265625,0.17697893151624544,0.07871150970458984,-0.34798622131347656,0.11968135401398407,-0.01831197738647461,0.0061054229736328125,-0.016727403010485788,-0.2980670928955078,-0.018314361572265625,-0.30054061475675514,-0.007765293121337891,0.0061054229736328125,-0.007485399847684386,0.00972747802734375,-0.0073261260986328125,0.009376252387614787,-0.01506805419921875,-0.0073261260986328125,-0.013788682443551914,0.18551301956176758,0.0061054229736328125,0.18492644307336592,-0.01409292221069336,0.28693580627441406,-0.07643107457763437,-0.0033555030822753906,0.0061054229736328125,-0.0028651823319686834,-0.2942323684692383,0.0061054229736328125,-0.2979527511847263,-0.006615161895751953,0.0061054229736328125,-0.006376779425305329,-0.00858306884765625,0.0073261260986328125,-0.008273990264625214,0.01697540283203125,-0.0073261260986328125,0.0159967685372006,0.0001437664031982422,0.0030689239501953125,0.00013858198312568566,0.0,0.0,5.413733596383981e-23
