t_s,phase,frame,adapt_on,drift,drift_frac,err_masked_deg,err_leg_deg,err_all_deg,act_dev_max,dev_clamped,loop_ms
0.0001,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,0.00
0.0205,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,13.15
0.0413,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.88
0.0601,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.81
0.0801,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.99
0.1003,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.82
0.1201,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.15
0.1413,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.09
0.1613,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.01
0.1802,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.07
0.2002,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.33
0.2204,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.18
0.2402,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.73
0.2602,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.94
0.2802,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.10
0.3003,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.71
0.3201,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.02
0.3431,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.16
0.3603,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.08
0.3802,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.89
0.4002,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.61
0.4203,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.00
0.4402,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.32
0.4612,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.15
0.4808,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.08
0.5003,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.65
0.5212,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.32
0.5404,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.59
0.5601,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.71
