t_s,wall_time,phase,frame,roll,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,left_hip_pitch_joint__pos_meas,left_hip_pitch_joint__vel_meas,left_hip_pitch_joint__tgt,left_hip_roll_joint__pos_meas,left_hip_roll_joint__vel_meas,left_hip_roll_joint__tgt,left_hip_yaw_joint__pos_meas,left_hip_yaw_joint__vel_meas,left_hip_yaw_joint__tgt,left_knee_joint__pos_meas,left_knee_joint__vel_meas,left_knee_joint__tgt,left_ankle_pitch_joint__pos_meas,left_ankle_pitch_joint__vel_meas,left_ankle_pitch_joint__tgt,left_ankle_roll_joint__pos_meas,left_ankle_roll_joint__vel_meas,left_ankle_roll_joint__tgt,right_hip_pitch_joint__pos_meas,right_hip_pitch_joint__vel_meas,right_hip_pitch_joint__tgt,right_hip_roll_joint__pos_meas,right_hip_roll_joint__vel_meas,right_hip_roll_joint__tgt,right_hip_yaw_joint__pos_meas,right_hip_yaw_joint__vel_meas,right_hip_yaw_joint__tgt,right_knee_joint__pos_meas,right_knee_joint__vel_meas,right_knee_joint__tgt,right_ankle_pitch_joint__pos_meas,right_ankle_pitch_joint__vel_meas,right_ankle_pitch_joint__tgt,right_ankle_roll_joint__pos_meas,right_ankle_roll_joint__vel_meas,right_ankle_roll_joint__tgt,waist_yaw_joint__pos_meas,waist_yaw_joint__vel_meas,waist_yaw_joint__tgt,waist_pitch_joint__pos_meas,waist_pitch_joint__vel_meas,waist_pitch_joint__tgt,waist_roll_joint__pos_meas,waist_roll_joint__vel_meas,waist_roll_joint__tgt,left_shoulder_pitch_joint__pos_meas,left_shoulder_pitch_joint__vel_meas,left_shoulder_pitch_joint__tgt,left_shoulder_roll_joint__pos_meas,left_shoulder_roll_joint__vel_meas,left_shoulder_roll_joint__tgt,left_shoulder_yaw_joint__pos_meas,left_shoulder_yaw_joint__vel_meas,left_shoulder_yaw_joint__tgt,left_elbow_joint__pos_meas,left_elbow_joint__vel_meas,left_elbow_joint__tgt,left_wrist_yaw_joint__pos_meas,left_wrist_yaw_joint__vel_meas,left_wrist_yaw_joint__tgt,left_wrist_pitch_joint__pos_meas,left_wrist_pitch_joint__vel_meas,left_wrist_pitch_joint__tgt,left_wrist_roll_joint__pos_meas,left_wrist_roll_joint__vel_meas,left_wrist_roll_joint__tgt,right_shoulder_pitch_joint__pos_meas,right_shoulder_pitch_joint__vel_meas,right_shoulder_pitch_joint__tgt,right_shoulder_roll_joint__pos_meas,right_shoulder_roll_joint__vel_meas,right_shoulder_roll_joint__tgt,right_shoulder_yaw_joint__pos_meas,right_shoulder_yaw_joint__vel_meas,right_shoulder_yaw_joint__tgt,right_elbow_joint__pos_meas,right_elbow_joint__vel_meas,right_elbow_joint__tgt,right_wrist_yaw_joint__pos_meas,right_wrist_yaw_joint__vel_meas,right_wrist_yaw_joint__tgt,right_wrist_pitch_joint__pos_meas,right_wrist_pitch_joint__vel_meas,right_wrist_pitch_joint__tgt,right_wrist_roll_joint__pos_meas,right_wrist_roll_joint__vel_meas,right_wrist_roll_joint__tgt,head_yaw_joint__pos_meas,head_yaw_joint__vel_meas,head_yaw_joint__tgt,head_pitch_joint__pos_meas,head_pitch_joint__vel_meas,head_pitch_joint__tgt
0.0000,1786487944.8194,ramp,0,-0.014214,0.0036606077648480106,0.00564334602064854,-0.002247794044628519,-0.02959292195737362,-0.061211466789245605,0.5251479744911194,-0.8482906222343445,-0.18992328643798828,-0.0061054229736328125,-0.19030669892842558,0.08043718338012695,-0.0061054229736328125,0.08043688996363121,-0.02387237548828125,0.0061054229736328125,-0.023872288381887263,0.4215512275695801,-0.0061054229736328125,0.4213594611453782,-0.36421966552734375,0.0061054229736328125,-0.3634518383028008,-0.020804405212402344,0.0061054229736328125,-0.020996017139592798,-0.2096729278564453,0.0061054229736328125,-0.2100567451384726,-0.07468461990356445,-0.0061054229736328125,-0.0746843474828452,0.006423473358154297,0.0061054229736328125,0.006423449903607107,0.4142646789550781,0.0061054229736328125,0.4150313782956803,-0.33469104766845703,-0.0061054229736328125,-0.3346905563471952,0.05972862243652344,0.0061054229736328125,0.060111780225223906,0.006039619445800781,-0.0061054229736328125,0.006231762075889789,-0.24341236648437695,1.4328702804815728e-05,-0.24320560351093065,0.03326960731415065,0.00409529075742277,0.03346900066656477,0.20162010192871094,-0.0061054229736328125,0.20162009599988925,0.09731054306030273,-0.0061054229736328125,0.09731091763009464,-0.01716136932373047,0.0061054229736328125,-0.01716130673472622,-0.29710865020751953,-0.0061054229736328125,-0.2971086607901779,-0.007765293121337891,0.0061054229736328125,-0.00776526480867597,0.00934600830078125,-0.0073261260986328125,0.009345974164004364,-0.01506805419921875,-0.0073261260986328125,-0.015067999176351968,0.21005678176879883,0.0061054229736328125,0.2100567450491106,-0.1019124984741211,-0.0061054229736328125,-0.10191285627402237,0.02003765106201172,0.0061054229736328125,0.020037577944856805,-0.28905534744262695,0.0061054229736328125,-0.2890553873939695,-0.003547191619873047,0.0061054229736328125,-0.003547178697586928,-0.00629425048828125,0.0073261260986328125,-0.006294227572524907,0.00629425048828125,-0.0073261260986328125,0.006294227653158078,0.0011985301971435547,0.0030689239501953125,0.0011985258251451187,0.0,0.0,5.476273403985008e-27
0.0206,1786487944.8400,ramp,0,-0.013946,0.11191035664190097,0.007149695992075958,0.008631251517635819,-0.02967877872288227,-0.061099834740161896,0.5251378417015076,-0.8483019471168518,-0.1903066635131836,-0.03052520751953125,-0.19034669484544486,0.08043718338012695,0.018314361572265625,0.08010552241815673,-0.02387237548828125,-0.018314361572265625,-0.023773915480603175,0.424044132232666,0.33577537536621094,0.4212715005390672,-0.370546817779541,-0.4822959899902344,-0.3627784828775423,-0.021955013275146484,0.05494499206542969,-0.020909497796060404,-0.2096729278564453,0.03052520751953125,-0.21001537697593387,-0.07660198211669922,-0.09157562255859375,-0.0743766913476739,0.006423473358154297,0.04273414611816406,0.006396961700505443,0.41503143310546875,0.128204345703125,0.4149694793045759,-0.34120988845825195,-0.3601951599121094,-0.3341356866553076,0.0673980712890625,0.6532363891601562,0.05986413079648473,0.006039619445800781,-0.0061054229736328125,0.006206075570404593,-0.24403047008376855,-0.1265608651001239,-0.24220365857127107,0.032414899087921875,-0.102080752815542,0.033331128301595764,0.20162010192871094,0.04273414611816406,0.2016134003330936,0.0965433120727539,0.0061054229736328125,0.09773393499399037,-0.01716136932373047,-0.0061054229736328125,-0.017090622349173905,-0.29710865020751953,-0.0061054229736328125,-0.29712061222974995,-0.007765293121337891,0.0061054229736328125,-0.007733290133008361,0.00934600830078125,0.0073261260986328125,0.009307422071223823,-0.01544952392578125,-0.03663063049316406,-0.01500585954693212,0.21005678176879883,0.05494499206542969,0.21001527596630548,-0.10095357894897461,-0.04273414611816406,-0.10231693469764146,0.02003765106201172,0.03052520751953125,0.019955003677536165,-0.28905534744262695,0.04273414611816406,-0.2891005061194727,-0.003547191619873047,0.0061054229736328125,-0.003532585018310959,-0.00629425048828125,0.0073261260986328125,-0.0062683478485072,0.00629425048828125,-0.0073261260986328125,0.006268438991558994,0.0011985301971435547,0.0030689239501953125,0.0011935883440846527,0.0,0.0,6.19006133454792e-24
0.0413,1786487944.8607,ramp,0,-0.012116,0.00815752353353521,-0.1880220025682524,-0.029529329903880353,-0.029459824785590172,-0.05898502469062805,0.5254735946655273,-0.8482513427734375,-0.19279956817626953,0.018314361572265625,-0.19038688212981927,0.07851982116699219,-0.0061054229736328125,0.07977256938757572,-0.02387237548828125,0.0061054229736328125,-0.023675071897226046,0.4413008689880371,0.8363857269287109,0.4211831190700822,-0.38051748275756836,-0.5555553436279297,-0.36210190566725164,-0.021955013275146484,-0.03052520751953125,-0.020822564485824063,-0.2096729278564453,-0.0061054229736328125,-0.20997381088029488,-0.08082056045532227,-0.05494499206542969,-0.07406756317872346,0.007381916046142578,-0.0061054229736328125,0.006370346760032875,0.42653656005859375,0.6654453277587891,0.4149072841470851,-0.34830474853515625,-0.4334545135498047,-0.33357816209379093,0.08580589294433594,0.6898651123046875,0.0596152964463908,0.006039619445800781,0.0061054229736328125,0.0061802661634088474,-0.24560677060943972,1.3049842046682996e-05,-0.24119691965344117,0.031019367728024844,0.004085866332761758,0.03319259626254508,0.2021951675415039,0.10378456115722656,0.2016066726297267,0.09558486938476562,-0.10378456115722656,0.0981589763573375,-0.01716136932373047,-0.0061054229736328125,-0.01701959976200201,-0.29691648483276367,0.04273414611816406,-0.2971326208530436,-0.007765293121337891,0.0061054229736328125,-0.007701162468996695,0.00972747802734375,-0.0073261260986328125,0.009268685519313946,-0.01544952392578125,-0.0073261260986328125,-0.014943422599750423,0.21024847030639648,0.04273414611816406,0.20997360846752974,-0.0992279052734375,0.15262603759765625,-0.10272294650408956,0.02003765106201172,0.0061054229736328125,0.019872034319408333,-0.2879047393798828,0.06715583801269531,-0.2891458407232907,-0.003547191619873047,-0.018314361572265625,-0.0035179215130624183,-0.00629425048828125,0.0073261260986328125,-0.0062423442984915894,0.00629425048828125,-0.0073261260986328125,0.0062425269396658364,0.0011985301971435547,-0.009205818176269531,0.0011886272387954652,0.0,0.0,1.2404237608344865e-23
0.0611,1786487944.8804,ramp,0,-0.012167,0.014675894302667266,-0.2593909913568499,-0.02534750952456183,-0.027787253260612488,-0.05629634112119675,0.5258903503417969,-0.8482322692871094,-0.19260787963867188,0.03052520751953125,-0.190425333477042,0.07851982116699219,0.0061054229736328125,0.07945399865588688,-0.02387237548828125,0.0061054229736328125,-0.023580497979024277,0.4572157859802246,0.7875461578369141,0.4210985553429007,-0.39298105239868164,-0.628814697265625,-0.36145455400761917,-0.02214670181274414,0.0061054229736328125,-0.020739386362465955,-0.20852279663085938,0.03052520751953125,-0.20993404028118645,-0.08177947998046875,-0.06715583801269531,-0.07377178816566432,0.00795745849609375,0.05494499206542969,0.006344881483307792,0.4399585723876953,0.6410255432128906,0.4148477755827847,-0.3582749366760254,-0.5921859741210938,-0.3330447204633395,0.09443426132202148,0.6776561737060547,0.05937721078956283,0.006615161895751953,-0.0061054229736328125,0.006155571624191884,-0.24649699152066384,-0.04793855550803722,-0.2402336680106702,0.03041624271713048,-0.025868869142595598,0.03306004827832727,0.20602989196777344,0.23809432983398438,0.20160023553744238,0.0921335220336914,-0.22588539123535156,0.09856565755763544,-0.01716136932373047,-0.0061054229736328125,-0.01695164507925801,-0.2949991226196289,0.11599540710449219,-0.29714411074968916,-0.007765293121337891,0.0061054229736328125,-0.00767042259732834,0.00972747802734375,-0.0073261260986328125,0.009231622238455688,-0.01544952392578125,-0.0073261260986328125,-0.01488368269015002,0.21446657180786133,0.25030517578125,0.20993374084551267,-0.09520149230957031,0.22588539123535156,-0.10311142015164508,0.02003765106201172,0.03052520751953125,0.01979264892057171,-0.2861790657043457,0.10378456115722656,-0.28918921704542216,-0.003547191619873047,0.0061054229736328125,-0.003503891415219491,-0.00629425048828125,0.0073261260986328125,-0.006217464002491506,0.00629425048828125,-0.0073261260986328125,0.00621773418941888,0.0011985301971435547,0.0030689239501953125,0.001183880434301138,0.0,0.0,1.8349985208035813e-23
0.0803,1786487944.8997,ramp,0,-0.012294,-0.002065136563957311,-0.16462979423840518,-0.06217868618284303,-0.026269737631082535,-0.05393506586551666,0.5262778997421265,-0.8481937646865845,-0.18877267837524414,0.16483497619628906,-0.1904626343055901,0.07909488677978516,-0.0061054229736328125,0.07914496001091231,-0.02329730987548828,0.0061054229736328125,-0.023488753846171682,0.4700627326965332,0.6043949127197266,0.42101652188199984,-0.4054446220397949,-0.6043949127197266,-0.3608265720249232,-0.02272176742553711,-0.04273414611816406,-0.020658697046162956,-0.20449590682983398,0.11599540710449219,-0.20989545967463438,-0.08216285705566406,-0.018314361572265625,-0.07348486315918756,0.008340835571289062,0.018314361572265625,0.006320178163667277,0.4510798454284668,0.5311355590820312,0.4147900475988664,-0.36901330947875977,-0.5433464050292969,-0.33252724016069596,0.10152864456176758,0.2625160217285156,0.05914624899221273,0.006806850433349609,-0.0061054229736328125,0.006131615980503513,-0.24943489930649573,-0.20448842468807044,-0.23929923821897736,0.03026768212633596,-0.022145594882648213,0.03293146631720478,0.2110152244567871,0.2625160217285156,0.20159399105206055,0.0877232551574707,-0.23809432983398438,0.09896017028142029,-0.01716136932373047,0.0061054229736328125,-0.01688572369670177,-0.29346513748168945,0.018314361572265625,-0.2971552568523818,-0.007765293121337891,0.0061054229736328125,-0.0076406025060829245,0.00972747802734375,-0.0073261260986328125,0.009195667943363899,-0.01544952392578125,-0.0073261260986328125,-0.014825730283110178,0.22021913528442383,0.3113555908203125,0.20989506611911457,-0.08964061737060547,0.2991447448730469,-0.10348827011840897,0.02042102813720703,0.018314361572265625,0.019715638845110038,-0.2840700149536133,0.07936477661132812,-0.2892312954866663,-0.003547191619873047,0.0061054229736328125,-0.003490281117740959,-0.00629425048828125,0.0073261260986328125,-0.006193328160125605,0.00629425048828125,-0.0073261260986328125,0.006193683273313392,0.0011985301971435547,0.0030689239501953125,0.0011792756609087134,0.0,0.0,2.411782763294507e-23
0.1007,1786487944.9201,ramp,0,-0.012598,-0.015418140185012969,0.010322588195390964,-0.022885427499756583,-0.025647547096014023,-0.053174760192632675,0.5266647338867188,-0.848020613193512,-0.18647193908691406,0.07936477661132812,-0.19050217093319002,0.0802454948425293,-0.0061054229736328125,0.0788173976940435,-0.02272176742553711,0.0061054229736328125,-0.02339151060101446,0.480224609375,0.4456653594970703,0.42092957136318804,-0.4169487953186035,-0.5433464050292969,-0.3601609490145043,-0.023680686950683594,-0.04273414611816406,-0.020573171239521702,-0.2021951675415039,0.11599540710449219,-0.20985456655956966,-0.08235454559326172,0.0061054229736328125,-0.07318073996483154,0.008724212646484375,0.0061054229736328125,0.006293994135399667,0.4599003791809082,0.3846149444580078,0.41472885941910975,-0.3799424171447754,-0.4945049285888672,-0.33197874226367136,0.10766458511352539,0.20146560668945312,0.058901443422817314,0.006806850433349609,-0.0061054229736328125,0.00610622444363183,-0.25585409659860936,-0.325930166152051,-0.23830879902149976,0.029957006940669068,0.02308622287890367,0.032795177196805976,0.2177262306213379,0.3235645294189453,0.20158737227433618,0.08235454559326172,-0.28693580627441406,0.09937832996448465,-0.017353057861328125,-0.0061054229736328125,-0.016815851008763035,-0.2915477752685547,0.11599540710449219,-0.2971670710487013,-0.007765293121337891,0.0061054229736328125,-0.007608995008650389,0.00972747802734375,-0.0073261260986328125,0.009157558559980402,-0.01544952392578125,-0.0073261260986328125,-0.014764304228385993,0.2265462875366211,0.3113555908203125,0.20985407324269206,-0.08216285705566406,0.3601951599121094,-0.10388770834476826,0.020612716674804688,0.0061054229736328125,0.019634012811762195,-0.28061866760253906,0.14041519165039062,-0.289275896095452,-0.003547191619873047,0.0061054229736328125,-0.0034758550236331856,-0.00629425048828125,0.0073261260986328125,-0.006167745623528585,0.00629425048828125,-0.0073261260986328125,0.006168190753428122,0.0011985301971435547,0.0030689239501953125,0.0011743948789560141,0.0,0.0,3.023139258270417e-23
0.1203,1786487944.9397,ramp,0,-0.013097,-0.015300962137346785,0.011977561801144869,-0.0476227215142026,-0.02539120614528656,-0.05319895222783089,0.5269255638122559,-0.8478646874427795,-0.1835956573486328,0.16483497619628906,-0.1905403397002174,0.08177947998046875,0.07936477661132812,0.07850116814897357,-0.02214670181274414,0.0061054229736328125,-0.023297631709598792,0.48655271530151367,0.28693580627441406,0.42084562909757484,-0.4271116256713867,-0.5067157745361328,-0.35951835476317234,-0.024639129638671875,-0.05494499206542969,-0.02049060439488452,-0.1995100975036621,0.14041519165039062,-0.20981508823588146,-0.08235454559326172,0.018314361572265625,-0.07288713861191723,0.008915901184082031,0.0061054229736328125,0.006268716003817514,0.46622753143310547,0.3235645294189453,0.41466978818517464,-0.3901047706604004,-0.4456653594970703,-0.331449220913029,0.11092424392700195,0.11599540710449219,0.05866510746518791,0.006039619445800781,-0.03052520751953125,0.006081711385382903,-0.2648604777349238,-0.5212052378136753,-0.23735262634623078,0.029953128947536854,-0.018900920900520278,0.032663603312014594,0.22271156311035156,0.21367454528808594,0.20158098248845147,0.07679414749145508,-0.2991447448730469,0.09978202245147785,-0.01754474639892578,-0.018314361572265625,-0.01674839572718213,-0.2905893325805664,0.03052520751953125,-0.29717847650572454,-0.007765293121337891,0.0061054229736328125,-0.007578481045293935,0.00972747802734375,-0.0073261260986328125,0.009120767658372862,-0.01544952392578125,-0.0073261260986328125,-0.014705003349314945,0.23172330856323242,0.25030517578125,0.2098144986091197,-0.07430076599121094,0.39682579040527344,-0.10427332708691356,0.020612716674804688,0.0061054229736328125,0.019555210818791226,-0.2790846824645996,0.06715583801269531,-0.2893189536435881,-0.003547191619873047,0.0061054229736328125,-0.003461928033433442,-0.00629425048828125,0.0073261260986328125,-0.006143048173629149,0.00629425048828125,-0.0073261260986328125,0.006143580205905239,0.0011985301971435547,0.0030689239501953125,0.0011696829588815638,0.0,0.0,3.613344469082901e-23
0.1403,1786487944.9596,ramp,0,-0.013230,0.004098477481212598,-0.0028275582322292896,-0.02938823646156579,-0.025345085188746452,-0.053205352276563644,0.5272682905197144,-0.8476526737213135,-0.17899417877197266,0.21367454528808594,-0.19057900963204677,0.0833134651184082,0.018314361572265625,0.07818078643631547,-0.021187782287597656,0.018314361572265625,-0.02320252016647102,0.4913463592529297,0.1770458221435547,0.42076058465046096,-0.43535661697387695,-0.40903472900390625,-0.3588673230996368,-0.025789737701416016,-0.0061054229736328125,-0.02040695342834442,-0.19663429260253906,0.15262603759765625,-0.20977509155260723,-0.0815877914428711,0.04273414611816406,-0.07258968220484872,0.009107589721679688,0.0061054229736328125,0.006243105964479488,0.4727468490600586,0.33577537536621094,0.41460994133217804,-0.3998842239379883,-0.4334545135498047,-0.3309127468237078,0.11265039443969727,0.04273414611816406,0.058425668361383555,0.005847930908203125,-0.03052520751953125,0.006056876464969182,-0.2748153145437931,-0.4860797944834341,-0.236383898901008,0.029295294748686935,-0.033497622396459384,0.03253030183146754,0.22577953338623047,0.10378456115722656,0.20157450880318964,0.0700826644897461,-0.3601951599121094,0.10019101551485998,-0.01754474639892578,0.0061054229736328125,-0.01668005474204127,-0.29039764404296875,-0.0061054229736328125,-0.2971900317190552,-0.007765293121337891,0.0061054229736328125,-0.007547566426490797,0.00972747802734375,-0.0073261260986328125,0.009083493683657271,-0.01544952392578125,-0.0073261260986328125,-0.014644923835888357,0.2353668212890625,0.14041519165039062,0.20977440435139008,-0.06663131713867188,0.3235645294189453,-0.10466400909296783,0.020804405212402344,0.018314361572265625,0.01947537413729668,-0.27850961685180664,0.018314361572265625,-0.2893625765473608,-0.003547191619873047,0.0061054229736328125,-0.003447818178608272,-0.00629425048828125,0.0073261260986328125,-0.006118026440459597,0.00629425048828125,-0.0073261260986328125,0.006118646516160687,0.0011985301971435547,0.0030689239501953125,0.0011649091701989578,0.0,0.0,4.2112992117936566e-23
0.1613,1786487944.9807,ramp,0,-0.012928,0.002817327688498777,0.0842559087901932,0.027611785259401445,-0.02568116970360279,-0.05346968397498131,0.5271839499473572,-0.8476783037185669,-0.17515897750854492,0.128204345703125,-0.19061985739253165,0.08408021926879883,0.018314361572265625,0.0778423613384862,-0.02099609375,0.0061054229736328125,-0.023102052093494394,0.49460601806640625,0.10378456115722656,0.4206707506362297,-0.4432182312011719,-0.34798622131347656,-0.35817962637502043,-0.0267486572265625,0.0061054229736328125,-0.020318591373282124,-0.1933746337890625,0.10378456115722656,-0.2097328423201601,-0.08101224899291992,0.03052520751953125,-0.07227547352911967,0.009107589721679688,-0.0061054229736328125,0.00621605360872399,0.4784994125366211,0.21367454528808594,0.41454672400022713,-0.40966272354125977,-0.4212455749511719,-0.33034605937249506,0.11284208297729492,0.0061054229736328125,0.05817274443056104,0.005272865295410156,-0.05494499206542969,0.006030642881594949,-0.28585115367091163,-0.4509815574061996,-0.2353606142768657,0.0288633814083189,-0.01644070694361294,0.03238949302493287,0.22731351852416992,0.05494499206542969,0.20156767053033736,0.06241273880004883,-0.3846149444580078,0.10062304241283183,-0.017736434936523438,0.0061054229736328125,-0.01660786490202151,-0.2902059555053711,-0.0061054229736328125,-0.2972022377035025,-0.007765293121337891,0.0061054229736328125,-0.007514910745846591,0.00972747802734375,-0.0073261260986328125,0.00904412049835605,-0.01544952392578125,-0.0073261260986328125,-0.014581460740444373,0.23766803741455078,0.10378456115722656,0.20973205204925047,-0.05876970291137695,0.3235645294189453,-0.10507669368417659,0.02099609375,0.0061054229736328125,0.019391041181707588,-0.278317928314209,0.0061054229736328125,-0.28940865622324,-0.003547191619873047,0.0061054229736328125,-0.003432913679347227,-0.00629425048828125,0.0073261260986328125,-0.006091595523334185,0.00629425048828125,-0.0073261260986328125,0.006092308600925027,0.0011985301971435547,0.009205818176269531,0.0011598665293799067,0.0,0.0,4.84292980837307e-23
0.1802,1786487944.9996,ramp,0,-0.012736,0.005477996486319595,0.10187213683457892,0.00766055998907231,-0.026198357343673706,-0.054139766842126846,0.5269999504089355,-0.8477343916893005,-0.17285776138305664,0.10378456115722656,-0.190656648417514,0.0846552848815918,0.03052520751953125,0.07753754643355439,-0.02099609375,0.0061054229736328125,-0.0230115618600292,0.496523380279541,0.05494499206542969,0.42058983835554137,-0.44916200637817383,-0.3113555908203125,-0.35756022724333547,-0.027515411376953125,-0.05494499206542969,-0.020239004866293868,-0.19145727157592773,0.10378456115722656,-0.20969478900835067,-0.08062887191772461,0.03052520751953125,-0.07199247002779713,0.009107589721679688,-0.0061054229736328125,0.006191687918056586,0.4819507598876953,0.16483497619628906,0.414489785005004,-0.41675710678100586,-0.34798622131347656,-0.32983565165546874,0.11284208297729492,0.0061054229736328125,0.057944939269468816,0.004506111145019531,-0.03052520751953125,0.0060070146481290285,-0.2948372511833886,-0.45940225755650554,-0.2344389556663584,0.02885945504607287,0.006712012211970848,0.0322626684387756,0.22769689559936523,-0.0061054229736328125,0.20156151139053732,0.054743289947509766,-0.39682579040527344,0.10101216319222424,-0.017736434936523438,-0.0061054229736328125,-0.016542844490226385,-0.2902059555053711,-0.018314361572265625,-0.2972132314684826,-0.007765293121337891,0.0061054229736328125,-0.007485498216294574,0.00972747802734375,-0.0073261260986328125,0.00900865760328286,-0.01544952392578125,-0.0073261260986328125,-0.014524300389369598,0.23862648010253906,0.0061054229736328125,0.20969390590396408,-0.05244255065917969,0.25030517578125,-0.10544839310967125,0.021187782287597656,0.03052520751953125,0.01931508363007979,-0.278317928314209,0.0061054229736328125,-0.2894501595636024,-0.003547191619873047,0.0061054229736328125,-0.0034194893985995756,-0.00629425048828125,0.0073261260986328125,-0.006067789554029548,0.00629425048828125,-0.0073261260986328125,0.0060685863971636795,0.0011985301971435547,0.0030689239501953125,0.0011553246910478109,0.0,0.0,5.411830937406648e-23
